City,date,CPCB_AQI,CPCB_PM25,CPCB_PM10,CPCB_NO2_surface,CPCB_SO2,CPCB_CO_surface,CPCB_O3,TROPOMI_CO_mol_m2,TROPOMI_HCHO_mol_m2,TROPOMI_NO2_mol_m2,temp_c,dewpoint_c,wind_speed_ms,pressure_hpa,precip_mm,rel_humidity_pct,CPCB_AQI_lag1,CPCB_AQI_lag2,CPCB_AQI_lag3,CPCB_PM25_lag1,CPCB_PM25_lag2,CPCB_PM25_lag3,CPCB_PM10_lag1,CPCB_PM10_lag2,CPCB_PM10_lag3,TROPOMI_HCHO_mol_m2_lag1,TROPOMI_HCHO_mol_m2_lag2,TROPOMI_HCHO_mol_m2_lag3,TROPOMI_NO2_mol_m2_lag1,TROPOMI_NO2_mol_m2_lag2,TROPOMI_NO2_mol_m2_lag3,temp_c_lag1,temp_c_lag2,temp_c_lag3,wind_speed_ms_lag1,wind_speed_ms_lag2,wind_speed_ms_lag3
Bangalore,2024-01-05,93.0,51.15,100.44,77.19,106.02,0.98,88.35,0.0363836471049764,0.0001752303108793,7.776185593851348e-05,21.318839645385765,17.35499280293783,2.4981665324109836,911.9951513671876,0.3129541873931885,78.14069678863932,98.0,93.0,91.0,53.9,51.15,50.05,105.84,100.44,98.28,0.0001752303108793,0.0001752303108793,-7.414026753463683e-06,7.776185593851348e-05,7.776185593851348e-05,0.00010195765143,20.212662633260095,20.49041328430178,21.675761795043968,2.2163162594499113,2.3063309528905105,2.279099277104236
Bangalore,2024-01-06,88.0,48.4,95.04,73.04,100.32,0.92,83.6,0.0375764179849363,0.0001752303108793,7.776185593851348e-05,22.283820724487327,17.26566785176601,2.8178185555868787,912.3201025390624,0.1399546861193812,73.25404101531959,93.0,98.0,93.0,51.15,53.9,51.15,100.44,105.84,100.44,0.0001752303108793,0.0001752303108793,0.0001752303108793,7.776185593851348e-05,7.776185593851348e-05,7.776185593851348e-05,21.318839645385765,20.212662633260095,20.49041328430178,2.4981665324109836,2.2163162594499113,2.3063309528905105
Bangalore,2024-01-07,76.0,41.8,82.08,63.08,86.64,0.8,72.2,0.0397424547055887,5.0735502122150257e-05,6.295435886405096e-05,22.261355972290065,15.654941177368189,3.2493212166950705,912.4593717447916,0.0552415847323572,66.21055059190714,88.0,93.0,98.0,48.4,51.15,53.9,95.04,100.44,105.84,0.0001752303108793,0.0001752303108793,0.0001752303108793,7.776185593851348e-05,7.776185593851348e-05,7.776185593851348e-05,22.283820724487327,21.318839645385765,20.212662633260095,2.8178185555868787,2.4981665324109836,2.2163162594499113
Bangalore,2024-01-09,73.0,40.15,78.84,60.59,83.22,0.77,69.35,0.033626437519834,5.0735502122150257e-05,6.295435886405096e-05,20.996325429280603,16.513431167602562,3.514659229350116,913.2848746744792,0.1023617434725565,75.56292885551628,76.0,88.0,93.0,41.8,48.4,51.15,82.08,95.04,100.44,5.0735502122150257e-05,0.0001752303108793,0.0001752303108793,6.295435886405096e-05,7.776185593851348e-05,7.776185593851348e-05,22.261355972290065,22.283820724487327,21.318839645385765,3.2493212166950705,2.8178185555868787,2.4981665324109836
Bangalore,2024-01-10,122.0,67.1,131.76,101.26,139.08,1.28,115.9,0.0346521693381598,5.0735502122150257e-05,6.295435886405096e-05,20.755811945597316,15.252772903442406,2.9491842227555556,913.3332389322916,0.0100731831480516,70.7538851139129,73.0,76.0,88.0,40.15,41.8,48.4,78.84,82.08,95.04,5.0735502122150257e-05,5.0735502122150257e-05,0.0001752303108793,6.295435886405096e-05,6.295435886405096e-05,7.776185593851348e-05,20.996325429280603,22.261355972290065,22.283820724487327,3.514659229350116,3.2493212166950705,2.8178185555868787
Bangalore,2024-01-11,92.0,50.6,99.36,76.36,104.88,0.97,87.4,0.036153391166105,0.0001292534071547,6.821897843431683e-05,20.867161051432333,13.205824152628622,3.16360242192913,913.3160481770832,0.0,61.55172063334809,122.0,73.0,76.0,67.1,40.15,41.8,131.76,78.84,82.08,5.0735502122150257e-05,5.0735502122150257e-05,5.0735502122150257e-05,6.295435886405096e-05,6.295435886405096e-05,6.295435886405096e-05,20.755811945597316,20.996325429280603,22.261355972290065,2.9491842227555556,3.514659229350116,3.2493212166950705
Bangalore,2024-01-12,88.0,48.4,95.04,73.04,100.32,0.92,83.6,0.0364204793843665,-1.9549753981881377e-05,5.1251739564133154e-05,20.32149976094564,13.860164896647175,3.1421208862858587,913.5000520833332,0.0,66.4258452321584,92.0,122.0,73.0,50.6,67.1,40.15,99.36,131.76,78.84,0.0001292534071547,5.0735502122150257e-05,5.0735502122150257e-05,6.821897843431683e-05,6.295435886405096e-05,6.295435886405096e-05,20.867161051432333,20.755811945597316,20.996325429280603,3.16360242192913,2.9491842227555556,3.514659229350116
Bangalore,2024-01-13,107.0,58.85,115.56,88.81,121.98,1.12,101.65,0.03807613492719,0.0001626096612768,0.000109417920937,21.13228886922201,15.289746856689476,2.343844957162649,914.0006640625,0.0017881393432617,69.29963717797237,88.0,92.0,122.0,48.4,50.6,67.1,95.04,99.36,131.76,-1.9549753981881377e-05,0.0001292534071547,5.0735502122150257e-05,5.1251739564133154e-05,6.821897843431683e-05,6.295435886405096e-05,20.32149976094564,20.867161051432333,20.755811945597316,3.1421208862858587,3.16360242192913,2.9491842227555556
Bangalore,2024-01-14,128.0,70.4,138.24,106.24,145.92,1.34,121.6,0.0352781607438761,0.0001963392738366,6.818414315522285e-05,21.57075653076174,14.149069722493492,2.259629247948252,913.1779736328124,0.0010728835491136,62.679068348843614,107.0,88.0,92.0,58.85,48.4,50.6,115.56,95.04,99.36,0.0001626096612768,-1.9549753981881377e-05,0.0001292534071547,0.000109417920937,5.1251739564133154e-05,6.821897843431683e-05,21.13228886922201,20.32149976094564,20.867161051432333,2.343844957162649,3.1421208862858587,3.16360242192913
Bangalore,2024-01-15,135.0,74.25,145.8,112.05,153.9,1.42,128.25,0.038881103842707,0.0002562406489513,6.00146140332044e-05,21.140974934895837,13.875854110717796,2.139579783202427,912.4467757161458,0.0008642673492431,63.221930712840695,128.0,107.0,88.0,70.4,58.85,48.4,138.24,115.56,95.04,0.0001963392738366,0.0001626096612768,-1.9549753981881377e-05,6.818414315522285e-05,0.000109417920937,5.1251739564133154e-05,21.57075653076174,21.13228886922201,20.32149976094564,2.259629247948252,2.343844957162649,3.1421208862858587
